uid,human_status,primary_blocker,all_blockers,next_evidence_or_action
landsd/81605:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/81711:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/81773:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/81808:0,Installed,Previously verified source port,,Installed in the preceding acceptance pass
landsd/81976:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/82980:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/84755:0,Held for unknown state,Source-part identity,native-ground-contact | native-terrain-coverage | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/88000:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/88005:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/88240:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/88717:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/89555:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/89821:0,Held for unknown state,Source-part identity,native-ground-contact | native-terrain-coverage | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/90797:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/91209:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/91650:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/91978:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/92037:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/92857:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/95162:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
